Subject,No,Question,Option A,Option B,Option C,Option D,Correct Answer (Full Text)
BK,Chapter 1 : Partnership Final Accounts,The Indian Partnership Act was passed in the year:,1923,1932,1956,2013,1932
BK,Chapter 1 : Partnership Final Accounts,The liability of partners in a standard partnership firm is:,Limited,Unlimited,Zero,Joint only,Unlimited
BK,Chapter 1 : Partnership Final Accounts,The document containing the terms of the partnership agreement is called:,Partnership Deed,Prospectus,Articles,Memorandum,Partnership Deed
BK,Chapter 1 : Partnership Final Accounts,"In the absence of a Partnership Deed, profits and losses are shared:",In Capital Ratio,In Time Ratio,Equally,As per work,Equally
BK,Chapter 1 : Partnership Final Accounts,Registration of a Partnership Firm is compulsory in the state of:,Gujarat,Maharashtra,Delhi,Goa,Maharashtra
BK,Chapter 1 : Partnership Final Accounts,"In the absence of an agreement, interest on partner's loan is allowed at:",5% p.a.,6% p.a.,8% p.a.,10% p.a.,6% p.a.
BK,Chapter 1 : Partnership Final Accounts,"Closing stock is always valued at Cost Price or Market Price, whichever is:",Higher,Lower,Equal,None of the above,Lower
BK,Chapter 1 : Partnership Final Accounts,Wages and Salaries appearing in the Trial Balance are shown in:,Trading A/c,Profit & Loss A/c,Balance Sheet,Capital A/c,Trading A/c
BK,Chapter 1 : Partnership Final Accounts,Salaries and Wages appearing in the Trial Balance are shown in:,Trading A/c,Profit & Loss A/c,Balance Sheet,Capital A/c,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,Carriage Inward is debited to:,Trading A/c,Profit & Loss A/c,Partners' Capital A/c,Balance Sheet,Trading A/c
BK,Chapter 1 : Partnership Final Accounts,Carriage Outward is debited to:,Trading A/c,Profit & Loss A/c,Partners' Capital A/c,Balance Sheet,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,Return Outward is deducted from:,Sales,Purchases,Capital,Debtors,Purchases
BK,Chapter 1 : Partnership Final Accounts,Return Inward is deducted from:,Sales,Purchases,Capital,Debtors,Sales
BK,Chapter 1 : Partnership Final Accounts,Prepaid expenses are shown on the:,Asset side,Liability side,Debit of P&L,Credit of Trading,Asset side
BK,Chapter 1 : Partnership Final Accounts,Outstanding expenses are shown on the:,Asset side,Liability side,Debit of Trading,Credit of P&L,Liability side
BK,Chapter 1 : Partnership Final Accounts,Bad debts are written off against:,Creditors,Bills Receivable,Debtors,Cash,Debtors
BK,Chapter 1 : Partnership Final Accounts,Provision for doubtful debts (RDD) is calculated on:,Creditors,Net Sales,Debtors,Bills Payable,Debtors
BK,Chapter 1 : Partnership Final Accounts,Depreciation is a charge against:,Assets,Liabilities,Capital,Cash,Assets
BK,Chapter 1 : Partnership Final Accounts,Depreciation is shown on the debit side of:,Trading A/c,Profit & Loss A/c,Balance Sheet,Partners A/c,Profit & Loss A/c
BK,Chapter 1 : Partnership Final Accounts,Goods distributed as free samples are credited to:,Trading A/c,Profit & Loss A/c,Capital A/c,Balance Sheet,Trading A/c
